"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 00:15:01 GMT 2024","Fri Nov 29 00:15:14 GMT 2024","13016","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCanNotCreateBuildTypeWithoutName","User should not be able to create buildType without name",""
"passed","Fri Nov 29 00:14:01 GMT 2024","Fri Nov 29 00:15:00 GMT 2024","59211","Command line suite","Command line test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Nov 29 00:15:14 GMT 2024","Fri Nov 29 00:15:29 GMT 2024","14848","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Fri Nov 29 00:12:59 GMT 2024","Fri Nov 29 00:13:52 GMT 2024","52262","com.example.teamcity.ui.SetupServerTest","Command line test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Nov 29 00:15:01 GMT 2024","Fri Nov 29 00:15:01 GMT 2024","19","Command line suite","Command line test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
