"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 23:53:25 GMT 2024","Thu Nov 28 23:53:37 GMT 2024","12670","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Thu Nov 28 23:51:14 GMT 2024","Thu Nov 28 23:52:04 GMT 2024","49762","com.example.teamcity.ui.SetupServerTest","Command line test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 23:52:13 GMT 2024","Thu Nov 28 23:53:12 GMT 2024","58602","Command line suite","Command line test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Nov 28 23:53:12 GMT 2024","Thu Nov 28 23:53:24 GMT 2024","12475","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCanNotCreateBuildTypeWithoutName","User should not be able to create buildType without name",""
"passed","Thu Nov 28 23:53:12 GMT 2024","Thu Nov 28 23:53:12 GMT 2024","0","Command line suite","Command line test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
