"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 22:57:27 GMT 2024","Thu Nov 28 22:57:27 GMT 2024","1","Command line suite","Command line test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Nov 28 22:57:27 GMT 2024","Thu Nov 28 22:57:39 GMT 2024","11472","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCanNotCreateBuildTypeWithoutName","User should not be able to create buildType without name",""
"failed","Thu Nov 28 22:56:34 GMT 2024","Thu Nov 28 22:57:27 GMT 2024","52267","Command line suite","Command line test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Nov 28 22:55:31 GMT 2024","Thu Nov 28 22:56:25 GMT 2024","53463","com.example.teamcity.ui.SetupServerTest","Command line test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 22:57:39 GMT 2024","Thu Nov 28 22:57:55 GMT 2024","15695","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
