"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 18:39:18 GMT 2024","Sun Dec 01 18:39:30 GMT 2024","11785","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCanNotCreateBuildTypeWithoutName","User should not be able to create buildType without name",""
"passed","Sun Dec 01 18:39:30 GMT 2024","Sun Dec 01 18:39:43 GMT 2024","13375","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Sun Dec 01 18:39:18 GMT 2024","Sun Dec 01 18:39:18 GMT 2024","1","Command line suite","Command line test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sun Dec 01 18:38:20 GMT 2024","Sun Dec 01 18:39:18 GMT 2024","57455","Command line suite","Command line test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Dec 01 18:37:19 GMT 2024","Sun Dec 01 18:38:11 GMT 2024","52850","com.example.teamcity.ui.SetupServerTest","Command line test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
