"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 22:17:06 GMT 2024","Thu Nov 28 22:17:06 GMT 2024","1","Command line suite","Command line test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Nov 28 22:17:06 GMT 2024","Thu Nov 28 22:17:18 GMT 2024","11726","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCanNotCreateBuildTypeWithoutName","User should not be able to create buildType without name",""
"failed","Thu Nov 28 22:16:13 GMT 2024","Thu Nov 28 22:17:06 GMT 2024","52820","Command line suite","Command line test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Nov 28 22:15:10 GMT 2024","Thu Nov 28 22:16:04 GMT 2024","53277","com.example.teamcity.ui.SetupServerTest","Command line test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 22:17:18 GMT 2024","Thu Nov 28 22:17:33 GMT 2024","14802","Command line suite","Command line test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
