"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 18:38:06 GMT 2024","Sun Dec 01 18:38:06 GMT 2024","441","Command line suite","Command line test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sun Dec 01 18:38:04 GMT 2024","Sun Dec 01 18:38:05 GMT 2024","934","Command line suite","Command line test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sun Dec 01 18:37:00 GMT 2024","Sun Dec 01 18:37:50 GMT 2024","49909","com.example.teamcity.ui.SetupServerTest","Command line test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Dec 01 18:38:02 GMT 2024","Sun Dec 01 18:38:04 GMT 2024","1766","Command line suite","Command line test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sun Dec 01 18:38:05 GMT 2024","Sun Dec 01 18:38:06 GMT 2024","460","Command line suite","Command line test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
